arch,lob,seed,mape,rmspe,n_companies,n_filtered,training_time,epochs_trained,best_val_loss
gru_baseline,private_passenger_auto,19,0.051770904970993924,0.09560498205895458,284,0,77.26,201,0.0004932205192744732
gru_baseline,private_passenger_auto,20,0.050857339150673656,0.09378172751389961,284,0,76.72,201,0.00048066830074983754
gru_baseline,private_passenger_auto,21,0.045748463769400685,0.08485420741468928,284,0,76.72,201,0.00048419698173852847
gru_baseline,private_passenger_auto,22,0.056436195113036686,0.09895400040456216,284,0,92.06,201,0.000488549002006443
gru_baseline,private_passenger_auto,23,0.05161136890121987,0.09464718359083173,284,0,76.84,201,0.0004893753422139627
gru_baseline,private_passenger_auto,24,0.04703991293465466,0.0855112717847413,284,0,77.59,201,0.00047078793997772865
gru_baseline,private_passenger_auto,25,0.051294469142714474,0.09081419870774299,284,0,79.3,201,0.00048725637801301974
gru_baseline,private_passenger_auto,26,0.04963088229800295,0.08814418456476072,284,0,77.08,201,0.00048566210413506877
gru_baseline,private_passenger_auto,27,0.05157400703946624,0.09375943830704099,284,0,76.4,201,0.0004936577396519068
gru_baseline,private_passenger_auto,28,0.050274707461881486,0.09459090286057263,284,0,72.83,201,0.00047174458935235936
gru_baseline,private_passenger_auto,29,0.05114019799041104,0.09276590068484088,284,0,71.32,201,0.0004720269676504864
gru_baseline,private_passenger_auto,30,0.05124743882451637,0.08847258151598518,284,0,71.48,201,0.0004822672312406616
gru_baseline,private_passenger_auto,31,0.049719915186267116,0.09026552582528208,284,0,71.72,201,0.0004812843706329457
gru_baseline,private_passenger_auto,32,0.05556765511799631,0.09565254490609962,284,0,71.34,201,0.0004941692039008356
gru_baseline,private_passenger_auto,33,0.05808737849242102,0.10134011621723085,284,0,72.2,201,0.0004811096619555934
gru_baseline,private_passenger_auto,34,0.04933841432599866,0.09224431135098007,284,0,71.2,201,0.0004810618653815861
gru_baseline,private_passenger_auto,35,0.04811570638136582,0.08722458858060579,284,0,71.38,201,0.0004889991541858763
